resource_id,url
2556,http://colah.github.io/posts/2015-02-DataList-Illustrated/img/foldr1.png
4407,http://bokeh.pydata.org/en/latest/_images/boxplot_t.png
5376,http://adventuresinmachinelearning.com/wp-content/uploads/2017/08/Negative-sampling-architecture-1.jpg
3768,http://www.kdnuggets.com/wp-content/uploads/text-deep-learning.jpg
2892,http://blog.dbrgn.ch/images/2013/3/26/perceptron.png
1747,http://deeplearning.net/software/theano/_images/math/f5091d76fcabd80089b9329afc652f02d4dc9063.png
6624,http://betterexplained.com/wp-content/plugins/wp-latexrender/pictures/d0bf14e6eb92b8170a4badafd6eb17fc.png
6514,http://einstein.ai/static/images/pages/research/cove/man_woman.png
6127,http://cs.stanford.edu/people/ranjaykrishna/im2p/paper.jpg
4324,http://www.artificialbrain.xyz/wp-content/uploads/AI-needs-nature-450x254.jpg
1898,http://sentiment.christopherpotts.net/figures/imdb-bad-counts.png
2420,http://www.kdnuggets.com/wp-content/uploads/knn3.jpg
2557,http://colah.github.io/posts/2015-09-Visual-Information/img/code.png
6956,http://blog.otoro.net/assets/20171031/schaffer/pepg.gif
4177,http://betterexplained.com/wp-content/plugins/wp-latexrender/pictures/952c69e876e176b3a6c3e715e325352d.png
2823,http://press.liacs.nl/mirflickr/concepts.png
6829,http://fasttext.cc/img/blog/2017-10-02-blog-post-img1.png
6114,http://www.pyimagesearch.com/wp-content/uploads/2016/06/convolutions_opencv_sobelx.jpg
2295,http://colah.github.io/posts/2014-07-Understanding-Convolutions/img/Gimp-Blur.png
2174,http://ufldl.stanford.edu/tutorial/images/ExampleSparseAutoencoderWeights.png
3611,http://www.topbots.com/wp-content/uploads/2017/06/lstm10_cellstates.png
2707,http://www.asimovinstitute.org/wp-content/uploads/2016/09/dbn.png
6896,http://mnemstudio.org/ai/path/images/q_matrix5.gif
4709,http://yerevann.github.io/public/2016-09-09/hy-rules.jpg
2303,http://brohrer.github.io/images/cnn13.png
3113,http://deeplearning.net/software/theano/_images/math/c6a96822285e9e6c7965f11c1daf0cec60b8241a.png
2557,http://colah.github.io/posts/2015-09-Visual-Information/img/simpson-participants.png
2493,http://www.johnwittenauer.net/content/images/2015/09/pp-1.png
5395,http://elitedatascience.com/wp-content/uploads/2017/03/k-means-clusters-2d.png
3033,http://sebastianraschka.com/images/blog/2014/linear-discriminant-analysis/2014-08-03-linear_discriminant_analysis_120_0.png
6959,http://www.learnopencv.com/wp-content/uploads/2017/10/regulariztion-output.png
2822,http://colinmorris.github.io/assets/rbm/annealing1.png
1904,http://www.kdnuggets.com/wp-content/uploads/tensors_flowing.jpg
6620,http://betterexplained.com/wp-content/uploads/images/linear-algebra-visualize-20121002-221620.png
2296,http://colah.github.io/posts/2014-07-Conv-Nets-Modular/img/Conv-9-Conv2Max2Conv2.png
1840,http://www.kdnuggets.com/wp-content/uploads/encoder-decoder.png
5821,http://machinelearningblogs.com/wp-content/uploads/2017/06/nerve-cell-2213009_1920-830x400.jpg
7001,http://building-babylon.net/wp-content/uploads/2016/05/11-05-2016-5-56-pm1-5.jpg
5412,http://www.deepideas.net/wp-content/uploads/2017/08/gradient_descent.png
3073,http://cs231n.github.io/assets/cat_tinted_imshow.png
4422,http://scikit-learn.org/stable/_images/sphx_glr_plot_label_propagation_structure_0011.png
2237,http://pythonprogramming.net/static/images/unsupervised-learning/unsupervised-machine-learning-flat-clustering-kmeans-example.png
