resource_id, card_number, score, 200_topic_id
"121","0","-1","31"
"121","1","-1","31"
"121","2","-1","31"
"121","3","0","31"
"121","4","0","31"
"121","5","0","31"
"121","6","0","31"
"121","7","0","31"
"121","8","2","31"
"121","9","0","31"
"121","10","-1","31"
"121","11","0","31"
"121","12","1","31"
"121","13","1","31"
"121","14","0","31"
"121","15","0","31"
"121","16","0","31"
"121","17","2","31"
"121","18","2","31"
"121","19","2","31"
"121","20","2","31"
"121","21","2","31"
"121","22","-1","31"
"121","23","2","31"
"121","24","2","31"
"121","25","2","31"
"121","26","2","31"
"121","27","2","31"
"121","28","2","31"
"121","29","2","31"
"121","30","2","31"
"121","31","1","31"
"121","32","1","31"
"121","33","2","31"
"121","34","2","31"
"121","35","2","31"
"121","36","2","31"
"121","37","2","31"
"121","38","1","31"
"121","39","1","31"
"121","40","1","31"
"121","41","2","31"
"121","42","2","31"
"121","43","2","31"
"121","44","2","31"
"121","45","2","31"
"121","46","2","31"
"121","47","2","31"
"121","48","2","31"
"121","49","1","31"
"121","50","1","31"
"121","51","2","31"
"121","52","2","31"
"121","53","2","31"
"121","54","2","31"
"121","55","2","31"
"121","56","2","31"
"121","57","2","31"
"121","58","2","31"
"121","59","2","31"
"121","60","2","31"
"121","61","2","31"
"121","62","-1","31"
"121","63","0","31"
"121","64","0","31"
"121","65","0","31"
"121","66","0","31"
"121","67","0","31"
"121","68","0","31"
"121","69","0","31"
"121","70","0","31"
"121","71","0","31"
"121","72","0","31"
"121","73","0","31"
"121","74","1","31"
"121","75","1","31"
"121","76","1","31"
"121","77","1","31"
"121","78","1","31"
"121","79","1","31"
"121","80","1","31"
"121","81","1","31"
"121","82","1","31"
"121","83","1","31"
"121","84","-1","31"
"121","85","0","31"
"121","86","0","31"
"121","87","0","31"
"121","88","0","31"
"121","89","0","31"
"121","90","0","31"
"121","91","0","31"
"121","92","0","31"
"121","93","0","31"
"121","94","0","31"
"121","95","0","31"
"121","96","0","31"
"121","97","0","31"
"121","98","0","31"
"121","99","0","31"
"121","100","0","31"
"121","101","0","31"
"121","102","-1","31"
"121","103","2","31"
"121","104","2","31"
"121","105","1","31"
"121","106","-1","31"
"121","107","-1","31"
"121","108","2","31"
"121","109","0","31"
"121","110","2","31"
"121","111","2","31"
"121","112","2","31"
"121","113","2","31"
"162","0","-1","18"
"162","1","1","18"
"162","2","-1","18"
"162","3","-1","18"
"162","4","-1","18"
"162","5","-1","18"
"162","6","-1","18"
"162","7","-1","18"
"162","8","-1","18"
"162","9","2","18"
"162","10","0","18"
"162","11","0","18"
"162","12","-1","18"
"162","13","-1","18"
"162","14","-1","18"
"162","15","0","18"
"162","16","-1","18"
"162","17","-1","18"
"162","18","-1","18"
"162","19","-1","18"
"162","20","-1","18"
"162","21","-1","18"
"162","22","2","18"
"162","23","-1","18"
"162","24","-1","18"
"162","25","-1","18"
"162","26","-1","18"
"162","27","-1","18"
"162","28","-1","18"
"162","29","-1","18"
"162","30","-1","18"
"162","31","2","18"
"162","32","-1","18"
"162","33","-1","18"
"162","34","-1","18"
"162","35","2","18"
"162","36","-1","18"
"162","37","-1","18"
"162","38","-1","18"
"162","39","-1","18"
"162","40","-1","18"
"162","41","-1","18"
"162","42","-1","18"
"162","43","0","18"
"162","44","1","18"
"162","45","-1","18"
"162","46","-1","18"
"162","47","-1","18"
"162","48","-1","18"
"162","49","-1","18"
"162","50","-1","18"
"162","51","-1","18"
"162","52","2","18"
"162","53","0","18"
"162","54","0","18"
"162","55","2","18"
"162","56","0","18"
"162","57","0","18"
"162","58","0","18"
"162","59","0","18"
"162","60","0","18"
"162","61","0","18"
"162","62","0","18"
"162","63","0","18"
"162","64","0","18"
"162","65","0","18"
"162","66","0","18"
"162","67","0","18"
"162","68","0","18"
"162","69","0","18"
"162","70","0","18"
"162","71","0","18"
"162","72","0","18"
"162","73","0","18"
"162","74","0","18"
"162","75","0","18"
"162","76","0","18"
"162","77","0","18"
"162","78","0","18"
"162","79","0","18"
"162","80","0","18"
"162","81","0","18"
"162","82","0","18"
"162","83","0","18"
"162","84","0","18"
"162","85","0","18"
"162","86","0","18"
"162","87","0","18"
"162","88","0","18"
"162","89","0","18"
"162","90","0","18"
"162","91","0","18"
"162","92","0","18"
"162","93","0","18"
"162","94","0","18"
"162","95","0","18"
"162","96","0","18"
"162","97","0","18"
"162","98","0","18"
"162","99","0","18"
"162","100","0","18"
"162","101","0","18"
"162","102","0","18"
"162","103","0","18"
"162","104","0","18"
"162","105","0","18"
"162","106","0","18"
"162","107","0","18"
"162","108","0","18"
"162","109","0","18"
"162","110","0","18"
"162","111","0","18"
"162","112","0","18"
"162","113","0","18"
"162","114","0","18"
"162","115","0","18"
"162","116","0","18"
"162","117","0","18"
"162","118","0","18"
"162","119","0","18"
"162","120","0","18"
"162","121","0","18"
"162","122","0","18"
"162","123","0","18"
"162","124","0","18"
"162","125","0","18"
"162","126","0","18"
"162","127","0","18"
"162","128","0","18"
"162","129","0","18"
"162","130","0","18"
"825","0","-1","140"
"825","1","0","140"
"825","2","0","140"
"825","3","0","140"
"825","4","2","140"
"825","5","2","140"
"825","6","2","140"
"825","7","-1","140"
"825","8","-1","140"
"825","9","-1","140"
"825","10","-1","140"
"825","11","-1","140"
"825","12","-1","140"
"825","13","-1","140"
"825","14","-1","140"
"825","15","-1","140"
"825","16","-1","140"
"825","17","-1","140"
"825","18","-1","140"
"825","19","2","140"
"825","20","2","140"
"825","21","2","140"
"825","22","2","140"
"825","23","-1","140"
"825","24","-1","140"
"825","25","-1","140"
"825","26","2","140"
"825","27","-1","140"
"825","28","-1","140"
"825","29","-1","140"
"825","30","2","140"
"825","31","-1","140"
"825","32","-1","140"
"825","33","2","140"
"825","34","-1","140"
"825","35","-1","140"
"825","36","-1","140"
"825","37","-1","140"
"825","38","2","140"
"825","39","-1","140"
"825","40","-1","140"
"825","41","0","140"
"825","42","0","140"
"825","43","-1","140"
"825","44","-1","140"
"825","45","0","140"
"825","46","2","140"
"825","47","2","140"
"825","48","-1","140"
"825","49","2","140"
"825","50","-1","140"
"825","51","-1","140"
"825","52","-1","140"
"825","53","-1","140"
"825","54","-1","140"
"825","55","-1","140"
"825","56","-1","140"
"825","57","-1","140"
"825","58","-1","140"
"825","59","-1","140"
"825","60","-1","140"
"825","61","-1","140"
"825","62","-1","140"
"825","63","-1","140"
"825","64","-1","140"
"825","65","-1","140"
"825","66","-1","140"
"825","67","-1","140"
"825","68","2","140"
"825","69","-1","140"
"825","70","-1","140"
"825","71","2","140"
"825","72","2","140"
"825","73","-1","140"
"825","74","-1","140"
"825","75","2","140"
"825","76","2","140"
"825","77","-1","140"
"825","78","0","140"
"825","79","0","140"
"825","80","0","140"
"825","81","0","140"
"825","82","0","140"
"825","83","0","140"
"825","84","0","140"
"825","85","0","140"
"825","86","-1","140"
"825","87","-1","140"
"825","88","-1","140"
"825","89","-1","140"
"825","90","-1","140"
"825","91","-1","140"
"825","92","-1","140"
"825","93","-1","140"
"825","94","-1","140"
"825","95","0","140"
"825","96","0","140"
"825","97","0","140"
"825","98","0","140"
"825","99","0","140"
"825","100","0","140"
"825","101","0","140"
"825","102","0","140"
"825","103","0","140"
"825","104","0","140"
"825","105","0","140"
"825","106","0","140"
"825","107","0","140"
"825","108","0","140"
"825","109","0","140"
"825","110","0","140"
"825","111","0","140"
"825","112","0","140"
"825","113","0","140"
"825","114","0","140"
"825","115","0","140"
"825","116","0","140"
"825","117","0","140"
"825","118","0","140"
"825","119","0","140"
"825","120","0","140"
"825","121","0","140"
"825","122","0","140"
"825","123","-1","140"
"825","124","-1","140"
"825","125","0","140"
"825","126","-1","140"
"825","127","0","140"
"825","128","0","140"
"825","129","0","140"
"825","130","0","140"
"825","131","0","140"
"825","132","0","140"
"825","133","0","140"
"825","134","0","140"
"825","135","0","140"
"825","136","0","140"
"825","137","0","140"
"825","138","0","140"
"825","139","0","140"
"825","140","0","140"
"825","141","0","140"
"825","142","0","140"
"825","143","0","140"
"825","144","0","140"
"825","145","0","140"
"825","146","0","140"
"825","147","0","140"
"825","148","0","140"
"825","149","0","140"
"825","150","0","140"
"825","151","0","140"
"825","152","0","140"
"825","153","0","140"
"825","154","0","140"
"825","155","-1","140"
"825","156","-1","140"
"825","157","-1","140"
"825","158","0","140"
"825","159","0","140"
"825","160","-1","140"
"825","161","-1","140"
"825","162","1","140"
"825","163","-1","140"
"825","164","-1","140"
"825","165","1","140"
"825","166","-1","140"
"825","167","-1","140"
"825","168","-1","140"
"825","169","0","140"
"825","170","0","140"
"825","171","0","140"
"825","172","-1","140"
"825","173","-1","140"
"825","174","-1","140"
"825","175","-1","140"
"825","176","0","140"
"825","177","0","140"
"825","178","-1","140"
"825","179","-1","140"
"825","180","-1","140"
"825","181","-1","140"
"825","182","-1","140"
"825","183","-1","140"
"825","184","-1","140"
"825","185","-1","140"
"825","186","-1","140"
"825","187","-1","140"
"825","188","0","140"
"825","189","-1","140"
"825","190","-1","140"
"825","191","-1","140"
"825","192","0","140"
"825","193","0","140"
"825","194","-1","140"
"825","195","-1","140"
"825","196","0","140"
